days_until_pickup,count
0.0,0.3998345264218137
1.0,0.2878161084931113
2.0,0.11874527860714414
3.0,0.06516421454009137
4.0,0.041314435771070905
5.0,0.02667362135328609
6.0,0.01778840965502356
7.0,0.010971617684089356
8.0,0.006187272923486456
9.0,0.004298715781143206
11.0,0.0028418288427641283
10.0,0.002733911291773085
12.0,0.0022123097953163783
13.0,0.0018705708838447426
14.0,0.001546818230871614
15.0,0.0010791755099104285
16.0,0.0009352854419223713
20.0,0.0008273678909313285
18.0,0.0007194503399402856
17.0,0.0006834778229432713
19.0,0.0006115327889492428
23.0,0.00041368394546566423
22.0,0.00041368394546566423
25.0,0.00041368394546566423
21.0,0.00037771142846864997
26.0,0.0003057663944746214
35.0,0.0003057663944746214
31.0,0.00025180761897909996
27.0,0.00025180761897909996
33.0,0.00023382136048059283
28.0,0.00023382136048059283
24.0,0.00023382136048059283
30.0,0.00019784884348357854
29.0,0.0001798625849850714
32.0,0.00016187632648656427
34.0,0.00010791755099104285
38.0,8.99312924925357e-05
36.0,8.99312924925357e-05
42.0,7.194503399402856e-05
46.0,7.194503399402856e-05
41.0,7.194503399402856e-05
37.0,7.194503399402856e-05
43.0,5.3958775495521424e-05
60.0,5.3958775495521424e-05
64.0,5.3958775495521424e-05
45.0,5.3958775495521424e-05
54.0,5.3958775495521424e-05
47.0,3.597251699701428e-05
48.0,3.597251699701428e-05
70.0,3.597251699701428e-05
73.0,3.597251699701428e-05
40.0,3.597251699701428e-05
63.0,1.798625849850714e-05
67.0,1.798625849850714e-05
58.0,1.798625849850714e-05
57.0,1.798625849850714e-05
39.0,1.798625849850714e-05
53.0,1.798625849850714e-05
68.0,1.798625849850714e-05
52.0,1.798625849850714e-05
